trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2286,False,"{'a': 0.9, 'e': 0.1016723389142504}",20,16,9.08915080938982,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2287,False,"{'a': 0.9, 'e': 0.10157071739456447}",30,16,24.958187008991676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2288,False,"{'a': 0.9, 'e': 0.10146919744560434}",20,16,5.986379233393401,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2289,False,"{'a': 0.9, 'e': 0.10136777896585017}",20,0,15.551862437243333,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2290,False,"{'a': 0.9, 'e': 0.1012664618538834}",20,10,8.72945103655643,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2291,False,"{'a': 0.9, 'e': 0.10116524600838693}",25,20,9.342556065410939,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2292,False,"{'a': 0.9, 'e': 0.10106413132814486}",30,12,29.995924789650076,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2293,False,"{'a': 0.9, 'e': 0.10096311771204257}",20,0,30.847297081068024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2294,False,"{'a': 0.9, 'e': 0.10086220505906641}",20,0,30.00108825464663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2295,False,"{'a': 0.9, 'e': 0.10076139326830373}",25,13,23.66391534561682,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2296,False,"{'a': 0.9, 'e': 0.10066068223894266}",20,16,10.891640174815588,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2297,False,"{'a': 0.9, 'e': 0.10056007187027226}",20,8,17.81301104196452,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2298,False,"{'a': 0.9, 'e': 0.1004595620616821}",30,22,11.135709489697092,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2299,False,"{'a': 0.9, 'e': 0.1003591527126624}",20,6,-84.71280781885562,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
2300,False,"{'a': 0.9, 'e': 0.1002588437228037}",25,14,20.2481603838923,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2301,False,"{'a': 0.9, 'e': 0.10015863499179714}",30,20,18.204450838247137,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2302,False,"{'a': 0.9, 'e': 0.10005852641943393}",25,0,-20.127230137225002,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2303,False,"{'a': 0.9, 'e': 0.09995851790560546}",20,12,15.773419016467571,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2304,False,"{'a': 0.9, 'e': 0.09985860935030318}",20,9,18.971341373960612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2305,False,"{'a': 0.9, 'e': 0.09975880065361863}",20,12,4.002326428058614,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
